Date,open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
2007-12-04,50.23469479374921,50.54074478149414,50.23469479374921,50.54074478149414,633,0.0,0.0,1196726400
2007-12-05,50.55131912231445,50.55131912231445,50.55131912231445,50.55131912231445,2000,0.0,0.0,1196812800
2007-12-06,50.38248552990876,50.42469787597656,50.38248552990876,50.42469787597656,1033,0.0,0.0,1196899200
2007-12-07,50.44577626499849,50.456329345703125,50.44577626499849,50.456329345703125,4267,0.0,0.0,1196985600
2007-12-10,50.572450448989414,50.699092864990234,50.572450448989414,50.699092864990234,2567,0.0,0.0,1197244800
2007-12-11,50.899553669833246,50.899553669833246,50.65682220458985,50.656822204589844,2133,0.0,0.0,1197331200
2007-12-12,50.75182253387206,50.79403484905942,50.53019714355469,50.53019714355469,3500,0.0,0.0,1197417600
2007-12-13,50.67794015887545,50.67794015887545,50.54074478149414,50.54074478149414,1967,0.0,0.0,1197504000
2007-12-14,50.70959939185776,50.70959939185776,50.54074478149414,50.54074478149414,1000,0.0,0.0,1197590400
2007-12-17,50.7307273509279,50.7307273509279,50.530208074825595,50.58297348022461,300,0.0,0.0,1197849600
2007-12-18,50.78349674132096,50.78349674132096,50.72017288208008,50.72017288208008,67,0.0,0.0,1197936000
2007-12-19,50.50907653588289,50.68848419189453,50.50907653588289,50.68848419189453,333,0.0,0.0,1198022400
2007-12-20,50.80458812339171,50.80458812339171,50.61462733652561,50.66739273071289,600,0.0,0.0,1198108800
2007-12-21,50.772939675247116,50.772939675247116,50.58297348022461,50.58297348022461,500,0.0,0.0,1198195200
2007-12-24,50.61466698963238,50.61466698963238,50.519683837890625,50.519683837890625,1467,0.0,0.0,1198454400
2007-12-26,50.551312003409414,50.551312003409414,50.43522274886788,50.4985466003418,733,0.0,0.0,1198627200
2007-12-27,50.4985466003418,50.4985466003418,50.4985466003418,50.4985466003418,0,0.0,0.0,1198713600
2007-12-28,50.94717705075739,50.94717705075739,50.69201545455839,50.915283203125,2400,1.056,0.0,1198800000
2007-12-31,51.01101929986066,51.01101929986066,50.81964521454819,50.89406967163086,1267,0.0,0.0,1199059200
2008-01-02,51.01098986819585,51.02162115484874,51.00035858154297,51.00035858154297,767,0.0,0.0,1199232000
2008-01-03,51.05350980096603,51.05350980096603,50.55381774902344,50.55381774902344,1433,0.0,0.0,1199318400
2008-01-04,50.74517237675018,50.74517237675018,49.78831918714768,50.075374603271484,6700,0.0,0.0,1199404800
2008-01-07,50.46878320117942,50.46878320117942,50.05414671205764,50.362464904785156,1133,0.0,0.0,1199664000
2008-01-08,50.60701998519148,50.60701998519148,49.96911530405014,50.49007034301758,1433,0.0,0.0,1199750400
2008-01-09,50.21358247264324,50.532531706656286,50.000946044921875,50.000946044921875,1400,0.0,0.0,1199836800
2008-01-10,50.075385484793344,50.075385484793344,48.90589559555932,49.72453689575195,12700,0.0,0.0,1199923200
2008-01-11,49.80961189478045,49.873399622492315,49.18233886775023,49.52255630493164,1667,0.0,0.0,1200009600
2008-01-14,49.82023222449421,49.82023222449421,49.50127743337264,49.54380798339844,567,0.0,0.0,1200268800
2008-01-15,49.41621279459263,49.41621279459263,49.30989456176758,49.30989456176758,467,0.0,0.0,1200355200
2008-01-16,49.74581247524893,49.74581247524893,49.575706481933594,49.575706481933594,1767,0.0,0.0,1200441600
2008-01-17,49.21423132010354,49.21423132010354,48.48064543459337,48.79959487915039,1133,0.0,0.0,1200528000
2008-01-18,49.097274902856356,49.097274902856356,48.83148193359375,48.83148193359375,600,0.0,0.0,1200614400
2008-01-22,48.90591403319752,48.90591403319752,48.363696723261356,48.89528274536133,2600,0.0,0.0,1200960000
2008-01-23,48.87402752404062,48.916552681784374,48.39559786912957,48.88465881347656,1400,0.0,0.0,1201046400
2008-01-24,48.89529279849978,49.065398846426156,48.778343200683594,48.778343200683594,1533,0.0,0.0,1201132800
2008-01-25,49.23551285205229,49.23551285205229,47.10916798279346,48.23613357543945,8533,0.0,0.0,1201219200
2008-01-28,48.59756172530686,48.64008684677271,48.267975811239914,48.62945556640625,13067,0.0,0.0,1201478400
2008-01-29,48.74642583963354,48.79958226412756,48.52315804161633,48.69326400756836,23200,0.0,0.0,1201564800
2008-01-30,49.331171455984055,49.96907563065567,49.267383742302655,49.54380798339844,489567,0.0,0.0,1201651200
2008-01-31,49.43750742540002,49.75645692317967,49.17171437472583,49.70330047607422,12500,0.0,0.0,1201737600
