Date,open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
2008-02-20,33.32373669160723,33.95133590698242,33.32373669160723,33.95133590698242,800,0.0,0,1203465600
2008-02-21,34.37755117637337,34.37755117637337,34.05438232421875,34.05438232421875,2700,0.0,0,1203552000
2008-02-22,33.956031129571166,33.9700813293457,33.838941367055405,33.9700813293457,700,0.0,0,1203638400
2008-02-25,34.72882479729698,35.16907988111286,34.54148045980494,35.15034866333008,7300,0.0,0,1203897600
2008-02-26,35.40795358806438,36.007452771726896,35.27212899593819,35.78264236450195,34500,0.0,0,1203984000
2008-02-27,35.712374438877134,36.218203026225304,35.660854662019695,35.99338912963867,12800,0.0,0,1204070400
2008-02-28,35.64211978329727,36.06364360502816,35.543764820442675,35.82477951049805,14800,0.0,0,1204156800
2008-02-29,35.36110401274411,35.36110401274411,34.82717504596499,34.91616439819336,12400,0.0,0,1204243200
2008-03-03,34.799077602067264,34.90679817867613,34.4197043552688,34.8505973815918,9100,0.0,0,1204502400
2008-03-04,34.316670663985285,34.37755963563244,33.951351127288206,34.29325485229492,7400,0.0,0,1204588800
2008-03-05,34.658580934639424,34.91149533241759,34.54149113418456,34.73820114135742,8600,0.0,0,1204675200
2008-03-06,34.86934330397001,34.86934330397001,34.316679268690486,34.354148864746094,7700,0.0,0,1204761600
2008-03-07,34.096537688575715,34.59768169121265,33.88577398805069,34.030967712402344,5700,0.0,0,1204848000
2008-03-10,34.09654767091299,34.09654767091299,33.41742475701308,33.46894454956055,21000,0.0,0,1205107200
2008-03-11,34.51804778743915,34.51804778743915,33.96070315394246,34.42437744140625,22700,0.0,0,1205193600
2008-03-12,34.564890506182024,34.724130827397865,34.36817703963383,34.41969680786133,32100,0.0,0,1205280000
2008-03-13,33.94667046820958,34.5508505863437,33.67970591369805,34.536800384521484,16600,0.0,0,1205366400
2008-03-14,35.92312546812007,35.92312546812007,33.628169763555796,33.80146026611328,42300,0.0,0,1205452800
2008-03-17,32.822598221446746,33.145763488253394,32.48069459332325,32.892852783203125,8900,0.0,0,1205712000
2008-03-18,33.53450393250386,33.7921028137207,33.41272959108357,33.7921028137207,4900,0.0,0,1205798400
2008-03-19,33.34717577228653,33.38932996113353,32.20906269958075,32.251216888427734,8700,0.0,0,1205884800
2008-03-20,32.236017013516474,32.76774279910355,32.236017013516474,32.7440071105957,2400,0.928,0,1205971200
