Date,open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
2015-02-20,18.172186116266545,18.188447952270508,18.172186116266545,18.188447952270508,500,0.0,0,1424390400
2015-02-23,18.180318101508078,18.180318101508078,18.082748630570713,18.099010467529297,1400,0.0,0,1424649600
2015-02-24,18.204710304239104,18.204710304239104,17.99818992614746,17.99818992614746,2900,0.0,0,1424736000
2015-02-25,18.03396635581401,18.13153428505513,18.03396635581401,18.08275032043457,11900,0.0,0,1424822400
2015-02-26,18.188447952270508,18.318539538674138,18.172186116266545,18.188447952270508,7800,0.0,0,1424908800
2015-02-27,18.38358761139745,18.38358761139745,18.017704010009766,18.017704010009766,6100,0.0,0,1424995200
2015-03-02,18.31853961944856,18.31853961944856,18.1201486311163,18.220970153808594,4100,0.0,0,1425254400
2015-03-03,18.14779542257773,18.14779542257773,17.99818992614746,17.99818992614746,3600,0.0,0,1425340800
2015-03-04,17.88761329650879,17.88761329650879,17.85996848066299,17.88761329650879,800,0.0,0,1425427200
2015-03-05,18.01770306566225,18.01770306566225,17.89899444580078,17.89899444580078,400,0.0,0,1425513600
2015-03-06,17.895742977770826,17.895742977770826,17.74125862121582,17.74125862121582,900,0.0,0,1425600000
2015-03-09,17.838828885174557,17.838828885174557,17.603036880493164,17.603036880493164,4000,0.0,0,1425859200
2015-03-10,17.5217273778316,17.5217273778316,17.375375500020397,17.38350486755371,1800,0.0,0,1425945600
2015-03-11,17.432291256941436,17.478635787963867,17.432291256941436,17.478635787963867,800,0.0,0,1426032000
2015-03-12,17.603036880493164,17.603036880493164,17.603036880493164,17.603036880493164,200,0.0,0,1426118400
2015-03-13,17.603036403020457,17.676213123121926,17.46562805927718,17.513599395751953,1200,0.0,0,1426204800
2015-03-16,17.619297244969278,17.63799851267196,17.56238236606652,17.63555908203125,2000,0.0,0,1426464000
2015-03-17,18.700686046175466,18.700686046175466,17.594905853271484,17.594905853271484,900,0.0,0,1426550400
2015-03-18,17.61116651266944,17.676212310791016,17.61116651266944,17.676212310791016,1500,0.0,0,1426636800
2015-03-19,17.87948226928711,17.87948226928711,17.87948226928711,17.87948226928711,400,0.0,0,1426723200
2015-03-20,17.88761362342108,18.184385208802844,17.88761362342108,18.164058685302734,4800,0.0,0,1426809600
2015-03-23,18.277886756443145,18.277886756443145,18.050227233127092,18.18031883239746,4600,0.0,0,1427068800
2015-03-24,18.124216079711914,18.124216079711914,18.124216079711914,18.124216079711914,200,0.0,0,1427155200
2015-03-25,17.684343042403025,17.684343042403025,17.63555908203125,17.63555908203125,400,0.0,0,1427241600
2015-03-26,17.48107459376372,17.651819229125977,17.48107459376372,17.651819229125977,2300,0.0,0,1427328000
2015-03-27,17.678650785972497,17.773780822753906,17.678650785972497,17.773780822753906,300,0.0,0,1427414400
2015-03-30,17.798174733765666,17.9233890317689,17.798174733765666,17.88761329650879,1800,0.0,0,1427673600
2015-03-31,17.89574432373047,17.89574432373047,17.89574432373047,17.89574432373047,200,0.0,0,1427760000
2015-04-01,18.025835153174828,18.025835153174828,17.562383619530138,17.586774826049805,2700,0.0,0,1427846400
2015-04-02,17.62742805480957,17.62742805480957,17.62742805480957,17.62742805480957,500,0.0,0,1427932800
2015-04-06,17.627427044134134,17.968917846679688,17.627427044134134,17.968917846679688,1600,0.0,0,1428278400
2015-04-07,18.08274940760855,18.08274940760855,17.96078872680664,17.96078872680664,2600,0.0,0,1428364800
2015-04-08,18.188447952270508,18.188447952270508,18.188447952270508,18.188447952270508,100,0.0,0,1428451200
