Date,open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
2002-07-30,46.21872599269667,46.32025619205772,46.08334952461291,46.122833251953125,41300,0.0,0,1027987200
2002-07-31,46.28080332279583,46.5797523581845,46.28080332279583,46.54590606689453,32600,0.0,0,1028073600
2002-08-01,46.55717698763598,46.76023746674777,46.54589345912686,46.737674713134766,71400,0.0,0,1028160000
2002-08-02,46.82795255709632,47.211511016710425,46.760268554663774,47.09870147705078,120300,0.0,0,1028246400
2002-08-05,47.20018766323808,47.3355598449707,47.11557843587867,47.3355598449707,159300,0.0,0,1028505600
2002-08-06,47.10431243577264,47.10431243577264,46.833563692905464,46.9520149230957,90100,0.0,0,1028592000
2002-08-07,46.923845399555915,47.18331078349956,46.87307809432341,47.09870147705078,38100,0.0,0,1028678400
2002-08-08,47.00275826494829,47.04224198824298,46.8673818107353,46.9350700378418,142600,0.0,0,1028764800
2002-08-09,46.99713938653295,47.31300932668831,46.99713938653295,47.28480911254883,99600,0.0,0,1028851200
2002-08-12,47.437092433553644,47.53862265079044,47.35248320195561,47.38068771362305,38100,0.0,0,1029110400
2002-08-13,47.5611910767039,47.79809351073344,47.414535344654986,47.758609771728516,109300,0.0,0,1029196800
2002-08-14,47.939130390175194,48.07450696295253,47.583776569300106,47.617618560791016,146100,0.0,0,1029283200
2002-08-15,47.38068933256479,47.56682878775979,47.23967537621787,47.34120559692383,60500,0.0,0,1029369600
2002-08-16,47.521720899756176,47.53300012694589,46.96894409252742,47.03099060058594,55800,0.0,0,1029456000
2002-08-19,47.10434589562791,47.10434589562791,46.89000173344207,47.076141357421875,41600,0.0,0,1029715200
2002-08-20,47.26788138290766,47.51042556762695,47.211472355862355,47.51042556762695,56900,0.0,0,1029801600
2002-08-21,47.25660319013347,47.403258930876525,47.2114776847656,47.39197540283203,37900,0.0,0,1029888000
2002-08-22,47.26789930689692,47.26789930689692,47.09868076840246,47.13816452026367,43600,0.0,0,1029974400
2002-08-23,47.2227628330055,47.38069780380668,47.18892085452101,47.35249328613281,26500,0.0,0,1030060800
2002-08-26,47.33557347677452,47.49350845151239,47.30737326180293,47.375057220458984,27800,0.0,0,1030320000
2002-08-27,47.23966580991619,47.34119601006171,47.13813560977068,47.23402404785156,38800,0.0,0,1030406400
2002-08-28,47.431497829249814,47.47662337142202,47.3807348218625,47.408939361572266,40200,0.0,0,1030492800
2002-08-29,47.702197620634166,47.71347684284943,47.566825437030325,47.62887191772461,101500,0.0,0,1030579200
2002-08-30,47.70787894103983,47.741720939150284,47.54994387864747,47.71915817260742,28900,0.0,0,1030665600
2002-09-03,48.160617089795366,48.44927637590507,48.109679501886404,48.23986053466797,110700,0.29,0,1031011200
2002-09-04,48.200226201434816,48.36436125765157,48.15494548058533,48.222862243652344,77300,0.0,0,1031097600
2002-09-05,48.44927592702507,48.47757746551797,48.21721972057558,48.41531753540039,57900,0.0,0,1031184000
2002-09-06,48.16060288712215,48.2511643298649,48.01910387149205,48.041744232177734,32200,0.0,0,1031270400
2002-09-09,48.07570682581684,48.194565480497964,47.96816619234985,47.97382736206055,88800,0.0,0,1031529600
2002-09-10,47.94557118323605,48.22856948155632,47.91727394433082,48.14366912841797,21400,0.0,0,1031616000
2002-09-11,47.88893105633073,47.968170166015625,47.82100996879756,47.968170166015625,77500,0.0,0,1031702400
2002-09-12,47.99647452726997,48.23985304084727,47.99647452726997,48.21721267700195,39900,0.0,0,1031788800
2002-09-13,48.324737243632676,48.4775585828347,48.27379967603654,48.44359588623047,125900,0.0,0,1031875200
2002-09-16,48.51152030426064,48.630378955049224,48.4605827331543,48.4605827331543,108700,0.0,0,1032134400
2002-09-17,48.33610421484699,48.65306088778153,48.33610421484699,48.619102478027344,30400,0.0,0,1032220800
2002-09-18,48.63036321576544,48.80016370091133,48.624706366278104,48.67564392089844,76400,0.0,0,1032307200
2002-09-19,48.91335662457824,48.94165814222195,48.74356047333198,48.91901779174805,61100,0.0,0,1032393600
2002-09-20,48.8454360468941,48.94731545690538,48.78883301606174,48.902034759521484,128600,0.0,0,1032480000
2002-09-23,49.17373259901998,49.2756120552156,49.08317548140549,49.17939376831055,293700,0.0,0,1032739200
2002-09-24,49.27559643812715,49.49633447022391,49.17371701422053,49.354835510253906,158200,0.0,0,1032825600
2002-09-25,49.07183837087193,49.23597768523267,48.902042207130414,48.98128128051758,88900,0.0,0,1032912000
2002-09-26,48.86242260459981,49.009578416003045,48.70960130741216,48.947322845458984,256100,0.0,0,1032998400
2002-09-27,49.003970011160334,49.269989013671875,48.96435043535286,49.269989013671875,199400,0.0,0,1033084800
2002-09-30,49.46807473946491,49.63787102912024,49.41713282982213,49.558631896972656,97200,0.0,0,1033344000
2002-10-01,49.25094831991521,49.39853909566845,49.126060485839844,49.126060485839844,150100,0.258,0,1033430400
2002-10-02,49.143107659635334,49.30773219773621,49.03524915823142,49.29070281982422,43000,0.0,0,1033516800
2002-10-03,49.30210012956496,49.31345594604413,49.05800204696296,49.26236343383789,37500,0.0,0,1033603200
2002-10-04,48.91602564500393,49.36448457345542,48.91035207458401,49.31339645385742,61400,0.0,0,1033689600
2002-10-07,49.48937550244836,49.53479005445673,49.35880974816682,49.506404876708984,80300,0.0,0,1033948800
2002-10-08,49.34748177723993,49.67105303520179,49.3134230124983,49.41560363769531,134600,0.0,0,1034035200
2002-10-09,49.63695577060573,49.66533660888672,49.4836827862071,49.66533660888672,94500,0.0,0,1034121600
2002-10-10,49.614242663191064,49.65397929688356,49.330408327967966,49.38149642944336,120400,0.0,0,1034208000
2002-10-11,49.20550924781887,49.25659733758302,48.921674977660935,49.02953338623047,133600,0.0,0,1034294400
2002-10-14,49.160143408038124,49.160143408038124,48.89333823691998,48.989845275878906,51300,0.0,0,1034553600
2002-10-15,48.44482810753495,48.58107166694597,48.138290926277634,48.16667175292969,167000,0.0,0,1034640000
2002-10-16,48.21208627273336,48.37671065879643,48.14396449302785,48.16667175292969,124200,0.0,0,1034726400
2002-10-17,47.809051470642345,47.99070525428869,47.809051470642345,47.911231994628906,205300,0.0,0,1034812800
2002-10-18,47.916910919093006,48.08720890873721,47.6160429085492,48.05315017700195,98600,0.0,0,1034899200
2002-10-21,48.08156304371438,48.08156304371438,47.6728449976827,47.68419647216797,572300,0.0,0,1035158400
2002-10-22,47.712564765081154,47.78636015053959,47.6103842070014,47.66147232055664,197500,0.0,0,1035244800
2002-10-23,47.79771154382884,47.96801391734321,47.71256468804092,47.76365280151367,64300,0.0,0,1035331200
2002-10-24,47.71255476881685,48.08721384930156,47.63875506785092,47.9907112121582,41800,0.0,0,1035417600
2002-10-25,48.229159813831146,48.229159813831146,48.098598363507314,48.20077896118164,566500,0.0,0,1035504000
2002-10-28,48.314288592911346,48.37673250309592,48.25184468272678,48.25752258300781,22100,0.0,0,1035763200
2002-10-29,48.490276149157516,48.881969074053245,48.43918802728589,48.694637298583984,118300,0.0,0,1035849600
2002-10-30,48.609457259509725,48.80814472038934,48.58107643007507,48.68893051147461,53000,0.0,0,1035936000
2002-10-31,48.620838969926986,49.21688867734538,48.598131695696324,48.9387321472168,71100,0.0,0,1036022400
2002-11-01,48.83333777821133,48.85042561753217,48.46877837406401,48.645362854003906,63400,0.295,0,1036108800
2002-11-04,48.38903812478135,48.49156951904297,48.309291967671165,48.49156951904297,85000,0.0,0,1036368000
2002-11-05,48.41754902694668,48.41754902694668,48.27514447098507,48.36058807373047,426300,0.0,0,1036454400
2002-11-06,48.223862044606925,48.78778264869077,48.223862044606925,48.52006149291992,135100,0.0,0,1036540800
2002-11-07,48.80487625183708,49.02702695074335,48.73082746748198,48.99285125732422,68000,0.0,0,1036627200
2002-11-08,49.038392738344335,49.11244583129883,48.98143182934466,49.11244583129883,27300,0.0,0,1036713600
2002-11-11,49.044120543056955,49.23779296875,49.044120543056955,49.23779296875,52100,0.0,0,1036972800
2002-11-12,49.24918943457836,49.26627728537691,49.05552133107216,49.08399963378906,48200,0.0,0,1037059200
2002-11-13,49.06118783268179,49.197899256767315,49.04409999113101,49.140933990478516,330200,0.0,0,1037145600
2002-11-14,48.793504830580346,48.821983137588276,48.52578353881836,48.52578353881836,71800,0.0,0,1037232000
2002-11-15,48.360597677548995,48.55996322631836,48.2181930933076,48.55996322631836,40900,0.0,0,1037318400
2002-11-18,48.49161113103035,48.668195784026175,48.44604496346554,48.60553741455078,35300,0.0,0,1037577600
2002-11-19,48.77067947014219,48.799157753730555,48.599792385255604,48.645362854003906,11000,0.0,0,1037664000
2002-11-20,48.753608323498,48.759305721009895,48.309306926071585,48.377662658691406,251800,0.0,0,1037750400
2002-11-21,48.17260149073683,48.21817198074314,47.98462647884164,48.09855270385742,95000,0.0,0,1037836800
2002-11-22,48.16118468396941,48.16687773272372,47.99599500748078,48.041561126708984,144800,0.0,0,1037923200
2002-11-25,48.132684581112166,48.13838197363665,47.96179757207513,47.96749496459961,49700,0.0,0,1038182400
2002-11-26,48.155530879792636,48.40616431869566,48.10996037347524,48.40046691894531,103800,0.0,0,1038268800
