state,timestamp,orderId,ticker,action,lmtPrice,totalQuantity,avgPrice,error message,exchange,commission
1,1643278439.740142,19850,QQQ,BUY,353.0,1.0,346.11,,ISLAND,1.0 USD
1,1643278440.960889,19852,SPY,BUY,442.5,1.0,433.77,,ISLAND,1.0 USD
1,1643278477.595201,19860,QQQ,SELL,339.1,1.0,346.07,,ISLAND,1.001895 USD
1,1643278478.795732,19862,SPY,SELL,424.9,1.0,433.66,,DRCTEDGE,1.002342 USD
0,1643278575.450039,19870,QQQ,BUY,276.9,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643278636.853327,19872,SPY,BUY,347.0,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643278675.844669,19883,QQQ,BUY,353.1,1.0,346.19,,ISLAND,1.0 USD
1,1643278677.055945,19885,SPY,BUY,442.5,1.0,433.86,,ISLAND,1.0 USD
1,1643279833.433012,20120,QQQ,BUY,352.7,1.0,345.79,,ISLAND,1.0 USD
1,1643279834.648801,20122,SPY,BUY,442.6,1.0,433.9,,ISLAND,1.0 USD
1,1643279871.3352,20130,QQQ,SELL,338.9,1.0,345.95,,ISLAND,1.001894 USD
1,1643279872.551944,20132,SPY,SELL,425.3,1.0,433.97,,ARCA,1.002343 USD
0,1643279969.218343,20140,QQQ,BUY,276.8,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643280030.626949,20142,SPY,BUY,347.2,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643280069.513913,20153,QQQ,BUY,353.1,1.0,346.09,,ISLAND,1.0 USD
1,1643280070.736672,20155,SPY,BUY,442.8,1.0,434.04,,ARCA,1.0 USD
1,1643280107.44452,20163,QQQ,SELL,339.1,1.0,345.85,,ISLAND,1.001894 USD
1,1643280108.662293,20165,SPY,SELL,425.4,1.0,433.79,,ISLAND,1.002342 USD
0,1643280205.362643,20173,QQQ,BUY,276.7,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643280266.774696,20175,SPY,BUY,347.3,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643280305.623049,20186,QQQ,BUY,352.5,1.0,345.61,,ARCA,1.0 USD
1,1643280306.83682,20188,SPY,BUY,442.2,1.0,433.62,,ISLAND,1.0 USD
1,1643280343.518453,20196,QQQ,SELL,338.7,1.0,345.6,,ARCA,1.001893 USD
1,1643280344.750216,20198,SPY,SELL,424.9,1.0,433.56,,ISLAND,1.002341 USD
0,1643280441.453548,20206,QQQ,BUY,276.5,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643280502.865088,20208,SPY,BUY,346.8,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643280541.718458,20219,QQQ,BUY,352.5,1.0,345.38,,ARCA,1.0 USD
1,1643280542.930382,20221,SPY,BUY,442.5,1.0,433.38,,ISLAND,1.0 USD
1,1643280579.622812,20229,QQQ,SELL,338.5,1.0,345.11,,ARCA,1.00189 USD
1,1643280580.822603,20231,SPY,SELL,424.5,1.0,433.11,,ISLAND,1.002339 USD
0,1643280677.513057,20239,QQQ,BUY,276.0,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643280738.914285,20241,SPY,BUY,346.4,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643280777.953972,20252,QQQ,BUY,350.8,1.0,344.11,,ISLAND,1.0 USD
1,1643280779.157242,20254,SPY,BUY,440.8,1.0,432.19,,ARCA,1.0 USD
1,1643280815.85568,20262,QQQ,SELL,337.2,1.0,344.05,,ISLAND,1.001885 USD
1,1643280817.057466,20264,SPY,SELL,423.7,1.0,432.24,,ISLAND,1.002334 USD
0,1643280913.723864,20272,QQQ,BUY,275.3,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643280975.122334,20274,SPY,BUY,346.0,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643281014.013406,20285,QQQ,BUY,350.6,1.0,343.74,,ARCA,1.0 USD
1,1643281015.228745,20287,SPY,BUY,440.5,1.0,431.94,,ISLAND,1.0 USD
1,1643281051.942867,20295,QQQ,SELL,336.7,1.0,343.55,,DRCTEDGE,1.001882 USD
1,1643281053.158612,20297,SPY,SELL,423.1,1.0,431.82,,ISLAND,1.002332 USD
0,1643281149.874875,20305,QQQ,BUY,274.7,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643281211.285585,20307,SPY,BUY,345.6,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643281250.133057,20318,QQQ,BUY,350.8,1.0,344.13,,ISLAND,1.0 USD
1,1643281251.33883,20320,SPY,BUY,440.7,1.0,432.37,,ARCA,1.0 USD
1,1643281288.163326,20328,QQQ,SELL,337.2,1.0,343.87,,ISLAND,1.001884 USD
1,1643281289.383411,20330,SPY,SELL,423.6,1.0,432.18,,ARCA,1.002334 USD
0,1643281386.116242,20338,QQQ,BUY,275.0,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643281447.514083,20340,SPY,BUY,345.6,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643281486.365809,20351,QQQ,BUY,351.3,1.0,344.82,,DRCTEDGE,1.0 USD
1,1643281487.577597,20353,SPY,BUY,441.3,1.0,432.95,,ARCA,1.0 USD
1,1643281524.294837,20361,QQQ,SELL,337.7,1.0,344.77,,ISLAND,1.001888 USD
1,1643281525.51296,20363,SPY,SELL,424.2,1.0,432.98,,ARCA,1.002338 USD
0,1643281622.227281,20371,QQQ,BUY,276.0,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643281683.630598,20373,SPY,BUY,346.5,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643281722.486356,20384,QQQ,BUY,351.8,1.0,344.94,,ISLAND,1.0 USD
1,1643281723.693154,20386,SPY,BUY,441.7,1.0,433.13,,ISLAND,1.0 USD
1,1643281760.408362,20394,QQQ,SELL,337.9,1.0,344.6,,ISLAND,1.001887 USD
1,1643281761.628691,20396,SPY,SELL,424.2,1.0,432.74,,ISLAND,1.002337 USD
0,1643281858.341657,20404,QQQ,BUY,275.7,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643281919.73513,20406,SPY,BUY,346.2,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643281958.600745,20417,QQQ,BUY,352.1,1.0,345.28,,ISLAND,1.0 USD
1,1643281959.813529,20419,SPY,BUY,441.9,1.0,433.35,,ISLAND,1.0 USD
1,1643281996.514948,20427,QQQ,SELL,338.3,1.0,345.18,,ISLAND,1.00189 USD
1,1643281997.719291,20429,SPY,SELL,424.6,1.0,433.22,,ISLAND,1.002339 USD
0,1643282094.440542,20437,QQQ,BUY,276.2,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643282155.844796,20439,SPY,BUY,346.5,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643282194.707268,20450,QQQ,BUY,352.4,1.0,345.49,,ISLAND,1.0 USD
1,1643282195.927573,20452,SPY,BUY,442.3,1.0,433.6,,ISLAND,1.0 USD
1,1643282232.623354,20460,QQQ,SELL,338.6,1.0,345.38,,ISLAND,1.001891 USD
1,1643282233.824206,20462,SPY,SELL,425.0,1.0,433.51,,ARCA,1.002341 USD
0,1643282330.518531,20470,QQQ,BUY,276.3,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643282391.930483,20472,SPY,BUY,346.8,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643282430.798043,20483,QQQ,BUY,351.9,1.0,344.93,,ISLAND,1.0 USD
1,1643282431.999829,20485,SPY,BUY,441.9,1.0,433.13,,ISLAND,1.0 USD
1,1643282468.758588,20493,QQQ,SELL,338.0,1.0,345.02,,ISLAND,1.00189 USD
1,1643282469.978327,20495,SPY,SELL,424.5,1.0,433.14,,ARCA,1.002339 USD
0,1643282566.650739,20503,QQQ,BUY,276.0,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643282628.053932,20505,SPY,BUY,346.6,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643282666.907844,20516,QQQ,BUY,351.7,1.0,344.97,,ISLAND,1.0 USD
1,1643282668.119889,20518,SPY,BUY,441.9,1.0,433.12,,ARCA,1.0 USD
1,1643282704.818746,20526,QQQ,SELL,338.2,1.0,345.24,,ISLAND,1.001891 USD
1,1643282706.036408,20528,SPY,SELL,424.6,1.0,433.25,,ISLAND,1.00234 USD
0,1643282802.721231,20536,QQQ,BUY,276.3,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643282864.127589,20538,SPY,BUY,346.7,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643282903.014478,20549,QQQ,BUY,352.6,1.0,345.71,,ARCA,1.0 USD
1,1643282904.231287,20551,SPY,BUY,442.4,1.0,433.76,,ISLAND,1.0 USD
1,1643282940.959781,20559,QQQ,SELL,338.8,1.0,345.74,,ARCA,1.001893 USD
1,1643282942.16356,20561,SPY,SELL,425.1,1.0,433.7,,ISLAND,1.002342 USD
0,1643283038.820041,20569,QQQ,BUY,276.8,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643283100.231467,20571,SPY,BUY,347.3,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643283139.081597,20582,QQQ,BUY,353.0,1.0,346.21,,ISLAND,1.0 USD
1,1643283140.309311,20584,SPY,BUY,442.8,1.0,434.21,,ARCA,1.0 USD
1,1643283177.016408,20592,QQQ,SELL,339.3,1.0,346.18,,ISLAND,1.001896 USD
1,1643283178.213207,20594,SPY,SELL,425.4,1.0,434.22,,ISLAND,1.002345 USD
0,1643283275.049185,20602,QQQ,BUY,276.9,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643283336.467228,20604,SPY,BUY,347.2,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643283375.308277,20615,QQQ,BUY,352.8,1.0,346.16,,ISLAND,1.0 USD
1,1643283376.513617,20617,SPY,BUY,442.6,1.0,434.11,,ISLAND,1.0 USD
1,1643283413.213981,20625,QQQ,SELL,339.2,1.0,345.97,,ISLAND,1.001894 USD
1,1643283414.433749,20627,SPY,SELL,425.2,1.0,434.06,,ISLAND,1.002344 USD
0,1643283511.141039,20635,QQQ,BUY,276.8,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643283572.561851,20637,SPY,BUY,347.3,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643283611.451431,20648,QQQ,BUY,352.0,1.0,345.21,,ISLAND,1.0 USD
1,1643283612.662165,20650,SPY,BUY,441.8,1.0,433.43,,ARCA,1.0 USD
1,1643283649.365428,20658,QQQ,SELL,338.5,1.0,345.21,,ARCA,1.001891 USD
1,1643283650.594541,20660,SPY,SELL,424.7,1.0,433.31,,ARCA,1.00234 USD
0,1643283747.308405,20668,QQQ,BUY,276.2,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643283808.705228,20670,SPY,BUY,346.7,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643283847.5948,20681,QQQ,BUY,352.5,1.0,345.5,,ISLAND,1.0 USD
1,1643283848.797143,20683,SPY,BUY,442.4,1.0,433.65,,ISLAND,1.0 USD
1,1643283885.497052,20691,QQQ,SELL,338.7,1.0,345.35,,ISLAND,1.001891 USD
1,1643283886.702825,20693,SPY,SELL,424.8,1.0,433.41,,ARCA,1.00234 USD
0,1643283983.432026,20701,QQQ,BUY,276.3,1.0,,Order cancelled: not filled within 60 seconds,,
0,1643284044.835832,20703,SPY,BUY,346.7,1.0,,Order cancelled: not filled within 60 seconds,,
1,1643284083.70699,20714,QQQ,BUY,352.0,1.0,345.27,,ARCA,1.0 USD
1,1643284084.928693,20716,SPY,BUY,442.0,1.0,433.45,,ISLAND,1.0 USD
1,1643284121.626022,20724,QQQ,SELL,338.3,1.0,345.48,,ISLAND,1.001892 USD
